iso,,elw,elw2s
AUS,d,1.0012639539642696,1.9999385790324458
AUS,se,0.08703882797784893,0.04109974682633932
BEL,d,1.0044319024148463,1.9999385790324458
BEL,se,0.08703882797784893,0.04109974682633932
CAN,d,0.827609548615734,1.9999385790324458
CAN,se,0.08703882797784893,0.04109974682633932
CHE,d,0.8601749415117028,1.9999385790324458
CHE,se,0.08703882797784893,0.04109974682633932
DEU,d,1.0488631495845437,1.9999385790324458
DEU,se,0.08703882797784893,0.04109974682633932
DNK,d,1.107250192894186,1.9999385790324458
DNK,se,0.08703882797784893,0.04109974682633932
ESP,d,1.0074017036511815,1.9999385790324458
ESP,se,0.08703882797784893,0.04109974682633932
FIN,d,1.0293252883702089,1.9999385790324458
FIN,se,0.08703882797784893,0.04109974682633932
FRA,d,1.0469316899476826,1.9999385790324458
FRA,se,0.08703882797784893,0.04109974682633932
GBR,d,0.996949313623047,1.9999385790324458
GBR,se,0.08703882797784893,0.04109974682633932
ITA,d,1.028261806909958,1.9999385790324458
ITA,se,0.08703882797784893,0.04109974682633932
JPN,d,1.1412936340637383,1.9999385790324458
JPN,se,0.08703882797784893,0.04109974682633932
NLD,d,0.8766540223131164,1.9999385790324458
NLD,se,0.08703882797784893,0.04109974682633932
NOR,d,1.0095351063722038,1.9999385790324458
NOR,se,0.08703882797784893,0.04109974682633932
PRT,d,1.0128161161226248,1.9999385790324458
PRT,se,0.08703882797784893,0.04109974682633932
SWE,d,0.9999116478889327,1.9999385790324458
SWE,se,0.08703882797784893,0.04109974682633932
